rb_id,player_name,team,season,week,rushing_yards,attempts,offense_pct,opponent,opponent_rush_defense_rank,rb_rush_yards_last5,rb_rush_attempts_last5,rb_injury_status,is_dome,rest_advantage,spread_line,total_line
00-0032972,Devontae Booker,NYG,2021,9,99.0,21,0.73,LV,13.0,48.5,14.25,0,0,-8,-3.0,47.0
00-0036893,Najee Harris,PIT,2021,9,62.0,22,0.82,CHI,9.0,79.2,20.4,0,0,0,7.0,40.0
00-0036567,Elijah Mitchell,SF,2021,9,36.0,8,0.66,ARI,14.0,86.6,16.2,1,0,-3,5.5,44.5
00-0033553,James Conner,ARI,2021,10,39.0,10,0.82,CAR,12.0,96.0,21.0,0,1,0,7.0,42.0
00-0035628,D'Ernest Johnson,CLE,2021,10,99.0,19,0.88,NE,8.0,146.0,22.0,0,0,0,-2.5,45.5
00-0036275,D'Andre Swift,DET,2021,10,130.0,33,0.93,PIT,7.0,33.2,11.4,0,0,8,-9.0,43.0
00-0036223,Jonathan Taylor,IND,2021,10,116.0,21,0.84,JAX,4.0,123.5,16.75,0,1,3,10.5,47.5
00-0035664,Darrell Henderson,LA,2021,10,31.0,5,0.75,SF,9.0,70.0,15.6,0,0,0,3.5,50.0
00-0033699,Austin Ekeler,LAC,2021,10,44.0,11,0.71,MIN,6.0,62.6,13.2,0,1,0,3.0,53.5
00-0035311,Myles Gaskin,MIA,2021,10,31.0,14,0.61,BAL,3.0,37.75,11.25,0,0,0,-8.5,46.5
00-0033893,Dalvin Cook,MIN,2021,10,94.0,24,0.82,LAC,10.0,104.0,21.2,0,1,0,-3.0,53.5
00-0027966,Mark Ingram,NO,2021,10,47.0,14,0.85,TEN,5.0,,,0,0,0,-3.0,44.0
00-0036893,Najee Harris,PIT,2021,10,105.0,26,0.87,DET,11.0,83.6,22.0,0,0,-8,9.0,43.0
00-0033856,Leonard Fournette,TB,2021,10,47.0,11,0.65,WAS,1.0,59.6,14.2,0,0,0,10.0,51.0
00-0036328,Antonio Gibson,WAS,2021,10,64.0,24,0.63,TB,2.0,79.5,16.5,0,0,0,-10.0,51.0
00-0033553,James Conner,ARI,2021,11,62.0,21,0.82,SEA,11.0,67.5,15.5,0,0,0,-2.5,46.0
00-0033280,Christian McCaffrey,CAR,2021,11,59.0,10,0.9,WAS,1.0,85.0,22.5,0,0,0,3.5,43.0
00-0035685,David Montgomery,CHI,2021,11,58.0,14,0.95,BAL,2.0,66.0,16.5,0,0,3,-5.0,43.0
00-0033897,Joe Mixon,CIN,2021,11,123.0,30,0.72,LV,16.0,69.6,15.8,0,1,7,1.0,50.5
00-0033045,Ezekiel Elliott,DAL,2021,11,32.0,9,0.69,KC,5.0,93.4,18.2,0,0,0,-2.5,56.0
